Date,AAPL,GOOGL,MSFT,AMZN,FB,,,,,,,,,,
5/15/2019,190.9199982,1170.800049,126.0199966,1871.150024,186.2700043,2.259994507,45.94006348,1.289993286,31.0300293,5.540008545,,TRUE,,,
5/16/2019,190.0800018,1184.5,128.9299927,1907.569946,186.9900055,-0.839996338,13.69995117,2.909996033,36.41992188,0.720001221,,FALSE,,,
5/17/2019,189,1168.780029,128.0700073,1869,185.3000031,-1.080001831,-15.7199707,-0.859985352,-38.56994629,-1.690002441,,TRUE,,,
5/20/2019,183.0899963,1144.660034,126.2200012,1858.969971,182.7200012,-5.910003662,-24.11999512,-1.850006104,-10.0300293,-2.580001831,,TRUE,,,
5/21/2019,186.6000061,1154.439941,126.9000015,1857.52002,184.8200073,3.510009766,9.779907227,0.680000305,-1.449951172,2.100006104,,FALSE,,,
5/22/2019,182.7799988,1155.849976,127.6699982,1859.680054,185.3200073,-3.820007324,1.41003418,0.769996643,2.16003418,0.5,,FALSE,,,
5/23/2019,179.6600037,1145.339966,126.1800003,1815.47998,180.8699951,-3.119995117,-10.51000977,-1.489997864,-44.20007324,-4.450012207,,TRUE,,,
5/24/2019,178.9700012,1138.609985,126.2399979,1823.280029,181.0599976,-0.690002441,-6.729980469,0.059997559,7.800048828,0.190002441,,FALSE,,,
5/28/2019,178.2299957,1139.560059,126.1600037,1836.430054,184.3099976,-0.740005493,0.950073242,-0.079994202,13.15002441,3.25,,FALSE,,,
5/29/2019,177.3800049,1119.939941,124.9400024,1819.189941,182.1900024,-0.849990845,-19.62011719,-1.220001221,-17.2401123,-2.119995117,,TRUE,,,
5/30/2019,178.3000031,1121.410034,125.7300034,1816.319946,183.0099945,0.919998169,1.470092773,0.790000916,-2.869995117,0.819992065,,FALSE,,,
5/31/2019,175.0700073,1106.5,123.6800003,1775.069946,177.4700012,-3.229995728,-14.91003418,-2.050003052,-41.25,-5.539993286,,TRUE,,,
6/3/2019,173.3000031,1038.73999,119.8399963,1692.689941,164.1499939,-1.770004272,-67.76000977,-3.840003967,-82.38000488,-13.32000732,,TRUE,,,
6/4/2019,179.6399994,1054.48999,123.1600037,1729.560059,167.5,6.339996338,15.75,3.320007324,36.87011719,3.350006104,,TRUE,,,
6/5/2019,182.5399933,1044.640015,125.8300018,1738.5,168.1699982,2.899993896,-9.849975586,2.669998169,8.939941406,0.669998169,,FALSE,,,
6/6/2019,185.2200012,1047.76001,127.8199997,1754.359985,168.3300018,2.680007935,3.119995117,1.989997864,15.85998535,0.160003662,,TRUE,,,
6/7/2019,190.1499939,1068.369995,131.3999939,1804.030029,173.3500061,4.929992676,20.60998535,3.579994202,49.67004395,5.020004272,,TRUE,,,
6/10/2019,192.5800018,1082.76001,132.6000061,1860.630005,174.8200073,2.430007935,14.39001465,1.200012207,56.59997559,1.470001221,,TRUE,,,
6/11/2019,194.8099976,1081.040039,132.1000061,1863.699951,178.1000061,2.229995728,-1.719970703,-0.5,3.069946289,3.279998779,,FALSE,,,
6/12/2019,194.1900024,1079.099976,131.4900055,1855.319946,175.0399933,-0.619995117,-1.940063477,-0.61000061,-8.380004883,-3.060012817,,TRUE,,,
6/13/2019,194.1499939,1091.01001,132.3200073,1870.300049,177.4700012,-0.040008545,11.91003418,0.830001831,14.98010254,2.430007935,,FALSE,,,
6/14/2019,192.7400055,1086.300049,132.4499969,1869.670044,181.3300018,-1.409988403,-4.709960938,0.129989624,-0.630004883,3.86000061,,FALSE,,,
6/17/2019,193.8899994,1093.890015,132.8500061,1886.030029,189.0099945,1.149993896,7.58996582,0.400009155,16.35998535,7.679992676,,TRUE,,,
6/18/2019,198.4499969,1105.23999,135.1600037,1901.369995,188.4700012,4.559997559,11.34997559,2.309997559,15.33996582,-0.539993286,,FALSE,,,
6/19/2019,197.8699951,1104.51001,135.6900024,1908.790039,187.4799957,-0.580001831,-0.729980469,0.529998779,7.420043945,-0.990005493,,FALSE,,,
6/20/2019,199.4600067,1113.199951,136.9499969,1918.189941,189.5299988,1.590011597,8.689941406,1.259994507,9.399902344,2.050003052,,TRUE,,,
6/21/2019,198.7799988,1125.369995,136.9700012,1911.300049,191.1399994,-0.680007935,12.17004395,0.020004272,-6.889892578,1.61000061,,FALSE,,,
6/24/2019,198.5800018,1116.699951,137.7799988,1913.900024,192.6000061,-0.199996948,-8.670043945,0.809997559,2.599975586,1.460006714,,FALSE,,,
6/25/2019,195.5700073,1087.579956,133.4299927,1878.27002,188.8399963,-3.009994507,-29.11999512,-4.350006104,-35.63000488,-3.760009766,,TRUE,,,
6/26/2019,199.8000031,1080.319946,133.9299927,1897.829956,187.6600037,4.229995728,-7.260009766,0.5,19.55993652,-1.179992676,,FALSE,,,
6/27/2019,199.7400055,1076.630005,134.1499939,1904.280029,189.5,-0.059997559,-3.689941406,0.220001221,6.450073242,1.839996338,,FALSE,,,
6/28/2019,197.9199982,1082.800049,133.9600067,1893.630005,193,-1.820007324,6.170043945,-0.189987183,-10.65002441,3.5,,FALSE,,,
7/1/2019,201.5500031,1100,135.6799927,1922.189941,193,3.630004883,17.19995117,1.719985962,28.55993652,0,,FALSE,,,
7/2/2019,202.7299957,1112.599976,136.5800018,1934.310059,195,1.179992676,12.59997559,0.900009155,12.12011719,2,,TRUE,,,
